employee_id_hash,company_id,tenure_years,gender,marital_status,is_permanent,performance_score,performance_rating,has_promotion,behavior_avg
00003e3b9e5336685200ae85d21b4f5e,82,2,O,married,t,95.33333333333333,Good,0,94.58333333333333
00c17237d011cca999f55a43db2ce040,101,1,O,single,t,82.0,Average,0,80.0
021bbc7ee20b71134d53e20206bd6feb,72,9,O,single,t,49.8,Average,0,80.71428571428572
02a3c7fb3f489288ae6942498498db20,72,2,O,married,f,94.16666666666667,Good,0,92.5
0342c9a7b54450830e9727b98f8e3cb7,78,6,O,married,t,51.57142857142857,Good,0,100.0
0353ab4cbed5beae847a7ff6e220b5cf,63,9,O,married,t,82.0,Excellent,0,100.0
03b2ceb73723f8b53cd533e4fba898ee,101,2,O,married,t,90.0,Good,0,93.5
04fcc65450efcccdc9869442c3e36310,101,3,O,married,t,83.27272727272727,Average,0,90.41666666666667
051e4e127b92f5d98d3c79b195f2b291,72,10,O,married,t,81.375,Need Improvement,0,94.99999999999999
05d0abb9a864ae4981e933685b8b915c,78,0,O,single,t,0.0,,0,73.33333333333333
06997f04a7db92466a2baa6ebc8b872d,66,4,O,married,t,62.45454545454545,Excellent,0,85.75
06f7c042b76e4b04f698c75b7b2777ea,101,4,O,married,t,86.0,Good,0,94.0
076a0c97d09cf1a0ec3e19c7f2529f2b,70,9,O,married,t,98.0,Excellent,0,65.36607142857143
08419be897405321542838d77f855226,77,7,O,married,t,90.45454545454545,Good,0,100.0
08aac6ac98e59e523995c161e57875f5,63,2,O,single,t,54.0,Average,0,91.66666666666667
08c5433a60135c32e34f46a71175850c,103,9,O,married,t,106.36363636363636,Excellent,0,93.75
0b105cf1504c4e241fcc6d519ea962fb,101,12,O,married,t,65.4,Good,0,90.71428571428572
0ce2ffd21fc958d9ef0ee9ba5336e357,81,12,O,married,t,107.9,Excellent,0,100.0
0d2b2061826a5df3221116a5085a6052,83,7,O,single,t,91.64285714285714,Good,0,75.78458333333333
0dd1bc593a91620daecf7723d2235624,101,8,O,married,t,89.0,Good,0,94.99999999999999
