employee_id_hash,company_id,tenure_years,gender,marital_status,is_permanent
afda332245e2af431fb7b672a68b659d,83,12,O,married,t
db0513583c7b05237076d942baab7ce9,81,1,M,single,t
84e8ce7870f0eecd843366582bb95a28,105,0,M,single,t
baf4f1a5938b8d520b328c13b51ccf11,83,0,O,married,t
68d13cf26c4b4f4f932e3eff990093ba,81,125,O,-,t
ce6babd060aa46c61a5777902cca78af,83,4,O,married,t
ba038e2a20ded4a1d146841e6ed42f22,103,1,O,married,t
75f266633433d20abf6c1a13d97e7491,100,3,O,single,t
42e7aaa88b48137a16a1acd04ed91125,63,125,O,single,f
fdbe012e2e11314b96402b32c0df26b7,100,1,O,single,t
2adcefe38fbcd3dcd45908fbab1bf628,63,2,O,single,t
ae3f58a127f6c1f12c4942432d1f246a,69,1,O,married,t
b27d5296bede63b1493a5d321d4e8092,96,9,O,married,t
3a37abdeefe1dab1b30f7c5c7e581b93,103,1,F,single,f
5ecf33fd9caf42c3bd39a3d9ee5f9ca3,105,1,O,Lajang,f
16c222aa19898e5058938167c8ab6c57,84,19,O,married,t
9a1158154dfa42caddbd0694a4e9bdc8,84,9,O,married,t
107030ca685076c0ed5e054e2c3ed940,81,2,O,married,t
f76a89f0cb91bc419542ce9fa43902dc,68,3,O,married,t
c2f8e6f7f5a740e5b753357c9bb2c664,103,80,F,single,f
58e4d44e550d0f7ee0a23d6b02d9b0db,65,10,O,married,t
43c656628a4a479e108ed86f7a28a010,81,1,O,married,t
e586a4f55fb43a540c2e9dab45e00f53,74,3,O,married,t
b2dc449578a4744a1684d3b0ea933702,101,1,M,single,t
f5deaeeae1538fb6c45901d524ee2f98,64,125,O,-,t
5e62d03aec0d17facfc5355dd90d441c,103,5,M,married,f
9718db12cae6be37f7349779007ee589,63,3,O,single,t
f29a179746902e331572c483c45e5086,103,5,M,-,f
2cfa8f9e50e0f510ede9d12338a5f564,82,4,O,single,t
1e8a19426224ca89e83cef47f1e7f53b,101,1,O,married,t
c73dfe6c630edb4c1692db67c510f65c,1,21,O,-,t
9b72e31dac81715466cd580a448cf823,68,6,O,married,f
60ce36723c17bbac504f2ef4c8a46995,83,3,O,single,t
8fe0093bb30d6f8c31474bd0764e6ac0,63,6,O,married,f
b670dfc593340027581047db105f3347,104,0,O,single,t
fcdf698a5d673435e0a5a6f9ffea05ca,103,80,F,single,f
8fe04df45a22b63156ebabbb064fcd5e,100,0,O,married,t
9565f1cd832c9675c76672081c819342,83,9,O,married,t
1e8eec0db325b87b0f57b5056efd8afb,83,4,O,single,t
1ff1de774005f8da13f42943881c655f,59,17,O,single,t
2e2079d63348233d91cad1fa9b1361e9,63,3,O,single,t
a3c36d0c741ddabbdb44b35a4fbebcb4,103,80,M,single,f
58ec998e5f04921d22afdd67759db6e4,103,80,F,single,f
e68879a4839773d105f0689875dace83,69,1,O,married,t
edb947f2bbceb132245fdde9c59d3f59,100,3,O,married,t
cc6ef8cb8df3af5693726838cd728163,103,0,O,single,t
087408522c31eeb1f982bc0eaf81d35f,64,2,O,-,f
aecad42329922dfc97eee948606e1f8e,83,0,O,married,t
7716d0fc31636914783865d34f6cdfd5,83,11,O,married,t
34ad9bc83e3c72c62281cb2c744ac966,66,0,O,married,t
d72a7ed33514158ae5e68ed6d80177b9,59,2,O,single,t
445e24b5f22cacb9d51a837c10e91a3f,105,0,M,single,t
0deb1c54814305ca9ad266f53bc82511,63,125,O,single,f
f02a8fde79ddf5b978cd9ae9d408b7c1,105,1,O,Lajang,f
2e5ac40b5a02c5a2c35fe028a266aa91,103,2,O,single,f
2f4ccb0f7a84f335affb418aee08a6df,83,1,O,single,t
f3f1b7fc5a8779a9e618e1f23a7b7860,81,125,O,-,t
f4d0e2e7fc057a58f7ca4a391f01940a,60,2,O,single,t
1e5186bca8f75fca53960e8cb4a3b973,83,14,O,married,t
ebad33b3c9fa1d10327bb55f9e79e2f3,83,12,O,married,t
3ab6be46e1d6b21d59a3c3a0b9d0f6ef,81,2,F,single,f
d3e2e8f631bd9336ed25b8162aef8782,81,2,F,married,f
79a3308b13cd31f096d8a4a34f96b66b,63,3,O,married,t
43975bc2dfc84641a2a8c4d3fe653176,83,3,O,single,t
d47619b92cebc6ebfa07969ab5370ae6,81,2,O,single,t
271f17707d8bfd2cd45f7e5182298703,77,0,O,single,t
44ece762ae7e41e3a0b1301488907eaa,83,1,O,single,t
9b91d245c953f54a7f10aba72a4d0022,81,0,O,single,t
3eefceb8087e964f89c2d59e8a249915,81,1,M,single,t
848c4965359e617d5e16c924b4a85fd9,81,1,O,single,f
d5a28f81834b6df2b6db6d3e5e2635c7,81,1,O,single,t
dcc5c249e15c211f21e1da0f3ba66169,72,0,M,married,t
e987eff4a7c7b7e580d659feb6f60c1a,101,1,O,married,f
2f55707d4193dc27118a0f19a1985716,63,12,O,married,t
b43a6403c17870707ca3c44984a2da22,82,3,O,merried,t
46cd618b83bec844b0dc2c7258f4de11,81,2,F,single,t
51ef186e18dc00c2d31982567235c559,83,9,O,married,t
3bf29f38421bc1764e6f1d1545479f93,105,1,O,Lajang,f
1e9f65024cd764a33b94a14b0e79f42d,105,1,O,Menikah,f
0dbd53751c00e0784799008b44471a77,105,1,O,Menikah,f
488e4104520c6aab692863cc1dba45af,103,1,F,single,f
fe1f9c70bdf347497e1a01b6c486bdb9,103,5,M,married,f
0a552abf945aad2831a917bd58bbdc70,83,0,O,single,t
054ab897023645cd7ad69525c46992a0,103,0,F,single,f
9b2e035e5362c96aea4c28083f02d6ff,81,1,O,-,f
53b354612d26628e73986a80e254864e,103,5,F,married,f
8e77b3768b440a281c5101ca7941d5e0,103,5,M,married,f
b294504229c668e750dfcc4ea9617f0a,103,5,F,single,f
8710ef761bbb29a6f9d12e4ef8e4379c,83,55,O,single,f
a0d3973ad100ad83a64c304bb58677dd,101,1,O,single,t
280cf18baf4311c92aa5a042336587d3,82,3,O,Single,t
1b90614883e606d5621b45c14f4f2963,75,1,O,single,t
8a4488c177d9dc8c3da7c745c89ca214,81,1,O,single,t
b6846b0186a035fcc76b1b1d26fd42fa,98,0,O,single,t
0efe32849d230d7f53049ddc4a4b0c60,82,12,O,single,t
5b69b9cb83065d403869739ae7f0995e,63,13,O,married,t
