employee_id_hash,pa_periode_id,performance_score,performance_rating,assessment_date
35051070e572e47d2c26c241ab88307f,6,90,Good,2021-07-16
98f13708210194c475687be6106a3b84,6,250,Excellent,2021-07-30
a49e9411d64ff53eccfdd09ad10a15b3,6,89,Good,2021-07-16
b4288d9c0ec0a1841b3b3728321e7088,6,115,Excellent,2021-08-02
c4ca4238a0b923820dcc509a6f75849b,6,53,Need Improvement,2021-08-06
1651cf0d2f737d7adeab84d339dbabd3,6,86,Good,2021-07-20
eed5af6add95a9a6f1252739b1ad8c24,6,87,Good,2021-07-20
fccb60fb512d13df5083790d64c4d5dd,6,86,Good,2021-07-20
a8abb4bb284b5b27aa7cb790dc20f80b,6,52,Need Improvement,2021-07-23
15d4e891d784977cacbfcbb00c48f133,6,71,Average,2021-07-23
2f55707d4193dc27118a0f19a1985716,6,59,Need Improvement,2021-07-23
66368270ffd51418ec58bd793f2d9b1b,6,101,Excellent,2021-07-23
b534ba68236ba543ae44b22bd110a1d6,6,48,Need Improvement,2021-07-23
2421fcb1263b9530df88f7f002e78ea5,6,58,Need Improvement,2021-07-23
248e844336797ec98478f85e7626de4a,6,80,Good,2021-07-23
854d9fca60b4bd07f9bb215d59ef5561,6,64,Average,2021-07-23
18997733ec258a9fcaf239cc55d53363,6,81,Good,2021-07-23
941e1aaaba585b952b62c14a3a175a61,6,70,Average,2021-07-23
cee631121c2ec9232f3a2f028ad5c89b,6,59,Need Improvement,2021-07-24
4f4adcbf8c6f66dcfc8a3282ac2bf10a,6,100,Excellent,2021-07-24
1be3bc32e6564055d5ca3e5a354acbef,6,56,Need Improvement,2021-07-24
559cb990c9dffd8675f6bc2186971dc2,6,96,Good,2021-07-23
019d385eb67632a7e958e23f24bd07d7,6,85,Good,2021-07-24
9431c87f273e507e6040fcb07dcb4509,6,63,Average,2021-07-23
55a7cf9c71f1c9c495413f934dd1a158,6,54,Need Improvement,2021-07-24
faa9afea49ef2ff029a833cccc778fd0,6,93,Good,2021-07-24
3cf166c6b73f030b4f67eeaeba301103,6,89,Good,2021-07-23
8d7d8ee069cb0cbbf816bbb65d56947e,6,80,Good,2021-07-25
c203d8a151612acf12457e4d67635a95,6,53,Need Improvement,2021-07-24
f74909ace68e51891440e4da0b65a70c,6,82,Good,2021-07-25
